,"Author: Basáñez, Maria Gloria; Basanez, Maria Gloria",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 13 (Of the 56 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
2003,Prediction of community prevalence of human onchocerciasis in the Amazonian onchocerciasis focus: Bayesian approach,"Carabin H., Escalona M., Marshall C., Vivas-Martinez S., Botto C., Joseph L., Basanez M.-G.",429686,Bulletin of the World Health Organization,81,7,11,2,2,4,0,15
2003,Experimental studies on the transmission of Onchocerca volvulus by its vector in the Sanaga valley (Cameroon): Simulium squamosum B. Intake of microfilariae and their migration to the haemocoel of the vector,"Demanou M., Enyong P., Pion S.D.S., Basanez M.G., Boussinesq M.",34983,Annals of Tropical Medicine and Parasitology,97,4,5,1,2,3,1,9
2002,Transmission intensity and the patterns of onchocerca volvulus infection in human communities,"Basanez M.-G., Collins R.C., Porter C.H., Little M.P., Brandling-Bennett D.",29637,American Journal of Tropical Medicine and Hygiene,67,6,15,5,7,12,2,29
2001,Models for the population biology and control of human onchocerciasis,"Basanez M.-G., Ricardez-Esquinca J.",14714922,Trends in Parasitology,17,9,20,4,2,6,2,28
2001,Human onchocerciasis in the Amazonian area of southern Venezuela: Spatial and temporal variations in biting and parity rates of black fly (Diptera: Simuliidae) vectors,"Grillet M.-E., Basanez M.-G., Vivas-Martinez S., Villamizar N., Frontado H., Cortez J., Coronel P., Botto C.",222585,Journal of Medical Entomology,38,4,8,0,4,4,1,13
2000,Parasitological indicators of onchocerciasis relevant to ivermectin control programmes in the Amazonian focus of southern Venezuela,"Vivas-Martinez S., Basanez M.-G., Botto C., Villegas L., Garcia M., Curtis C.F.",311820,Parasitology,121,5,8,0,2,2,1,11
2000,"Amazonian onchocerciasis: Parasitological profiles by host-age, sex, and endemicity in southern Venezuela","Vivas-MARTINEZ S., Basanez M.-G., Botto C., Rojas S., Garcia M., Pacheco M., Curtis C.F.",311820,Parasitology,121,5,8,0,1,1,1,10
2000,Phosphoglucomutase and trehalase isoenzymes of Venezuelan Simulium vectors of Onchocerca volvulus,"Davies J.B., Basanez M.G., Frontado H., Villamizar N., Raybould J.N., Petralanda I.",0269283X,Medical and Veterinary Entomology,14,3,1,1,0,1,0,2
2000,Onchocerca-Simulium complexes in Venezuela: Can human onchocerciasis spread outside its present endemic areas?,"Basanez M.G., Yarzabal L., Frontado H.L., Villamizar N.J.",311820,Parasitology,120,2,8,2,0,2,1,11
1999,Population biology of human onchocerciasis,"Basanez M.-G., Boussinesq M.",9628436,Philosophical Transactions of the Royal Society B: Biological Sciences,354,1384,27,3,4,7,2,36
1999,Onchocerciasis hyperendemic in the Unturan Mountains: The value of recombinant antigens in describing a new transmission area in southern Venezuela,"Botto C., Gillespie A.J., Vivas-Martinez S., Martinez N., Planchart S., Basanez M.-G., Bradley J.E.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,93,1,12,0,1,1,0,13
1998,Onchocerciasis in the Amazonian focus of southern Venezuela: Altitude and blackfly species composition as predictors of endemicity to select communities for ivermectin control programmes,"Vivas-Martinez S., Basanez M.-G., Grillet M.-E., Weiss H., Botto C., Garcia M., Villamizar N.J., Chavasse D.C.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,92,6,11,0,2,2,1,14
1998,Determination of Sample Sizes for the Estimation of Onchocerca volvulus (Filarioidea: Onchocercidae) Infection Rates in Biting Populations of Simulium ochraceum s.l. (Diptera: Simuliidae) and Its Application to Ivermectin Control Programs,"Basanez M.-G., Rodriguez-Perez M.A., Reyes-Villanueva F., Collins R.C., Rodriguez M.H.",222585,Journal of Medical Entomology,35,5,8,1,0,1,0,9
1996,Density-dependent processes in the transmission of human onchocerciasis: Relationship between microfilarial intake and mortality of the simuliid vector,"Basanez M.G., Townson H., Williams J.R., Frontado H., Villamizar N.J., Anderson R.M.",311820,Parasitology,113,4,16,4,4,8,1,25
1995,Density-dependent processes in the transmission of human onchocerciasis: Relationship between the numbers of microfilariae ingested and successful larval development in the simuliid vector,"Basanez M.G., Remme J.H.F., Alley E.S., Bain O., Shelley A.J., Medley G.F., Anderson R.M.",311820,Parasitology,110,4,34,2,4,6,2,42
1994,Density-dependent processes in the transmission of human onchocerciasis: Intensity of microfilariae in the skin and their uptake by the simuliid host,"Basanez M.G., Boussinesq M., Prod'Hon J., Frontado H., Villamizar N.J., Medley G.F., Anderson R.M.",311820,Parasitology,108,1,25,1,3,4,1,30
1994,Vector competence of Simulium metallicum s.l. (Diptera: Simuliidae) in two endemic areas of human onchocerciasis in northern Venezuela,"Grillet M.E., Botto C., Basanez M.G., Barrera R.",34983,Annals of Tropical Medicine and Parasitology,88,1,7,0,2,2,1,10
1988,The vectoral role of several blackfly species (Diptera:Simuliidae) in relation to human onchocerciasis in the Sierra Parima and Upper Orinoco regions of Venezuela,"Basanez M.G., Yarzabal L., Takaoka H., Suzuki H., Noda S., Tada I.",34983,Annals of Tropical Medicine and Parasitology,82,6,8,0,1,1,0,9
1988,"A new cestode, Raillietina (Raillietina) oligocapsulata n. sp., and R. (R.) demerariensis (Daniels, 1895) from Venezuelan mammals.","Sato H., Okamoto M., Ohbayashi M., Basanez M.G.",471917,Japanese Journal of Veterinary Research,36,1,1,0,0,0,0,1
1985,Experimental and natural infection of Simulium sanchezi by Mansonella ozzardi in the Middle Orinoco region of Venezuela,"Yarzabal L., Basanez M.G., Ramirez-Perez J., Ramirez A., Botto C., Yarzabal A.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,79,1,0,0,0,0,1,1
1985,Experimental and natural infection of Simulium sanchezi by Mansonella ozzardi in the Middle Orinoco region of Venezuela.,"Yarzabal L., Basanez M.G., Ramirez-Perez J., Ramirez A., Botto C., Yarzabal A.",359203,Transactions of the Royal Society of Tropical Medicine and Hygiene,79,1,6,1,0,1,0,7
