,"Author: Curtin, Nancy A.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 11 (Of the 33 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
1993,"The efficiency of energy conversion by swimming muscles of fish","Woledge R.C., Pollack G.H., Ter Keurs H.E.D.J., Homsher E., Curtin N.A., Suga H., Gergely J., Brenner B., Huxley, Goldman Y.E., Kushmerick M.J., Morales M.F.",00652598,"Advances in Experimental Medicine and Biology",332, ,1,1,0,1,0,2
1993,"Power and efficiency: How to get the most out of striated muscle","Curtin N.A., Woledge R.C., Suga H., Huxley",00652598,"Advances in Experimental Medicine and Biology",332, ,2,1,0,1,1,4
1991,"Efficiency of energy conversion during shortening of muscle fibres from the dogfish Scyliorhinus canicula.","Curtin N.A., Woledge R.C.",00220949,"Journal of Experimental Biology",158, ,15,0,0,0,0,15
1990,"The price of being a snake","Woledge R.C., Curtin N.A.",00280836,"Nature",347, 6294,2,0,0,0,0,2
1990,"Force during stretch and shortening of frog sartorius muscle: Effects of intracellular acidification due to increased carbon dioxide","Curtin N.A.",01424319,"Journal of Muscle Research and Cell Motility",11, 3,3,0,0,0,0,3
1990,"Implications of the septal structure in fish muscle","Gardner-Medwin A.R., Curtin N.A.",00223751,"Journal of Physiology",426, ,0,0,0,0,0,0
1990,"Force during shortening and stretch of active muscle fibres isolated from the lamprey, Ichthyomyzon unicuspis","Curtin N.A., Williams T.L.",00223751,"Journal of Physiology",430, ,0,0,0,0,0,0
1990,"Stimulus pattern for sustained work output during cyclic contractions of white muscle isolated from dogfish","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",426, ,0,0,0,0,0,0
1989,"Fatigue of isolated mouse muscle due to isometric tetani and tetani with high power output","Cummins M.E., Soomal R.S., Curtin N.A.",01448757,"Quarterly Journal of Experimental Physiology",74, 6,3,0,3,3,2,8
1989,"Energetics and mechanics of contracting white myotomal fibres from dogfish, Scyliorhinus canicula.","Curtin N.A., Woledge R.C.",03617742,"Progress in clinical and biological research",315, ,0,0,0,0,0,0
1989,"Effects of fatigue and reduced intracellular pH on segment dynamics in 'isometric' relaxation of frog muscle fibres","Curtin N.A., Edman K.A.P.",00223751,"Journal of Physiology",413, ,14,2,0,2,1,17
1988,"The mdx mouse skeletal muscle myopathy: II. Contractile properties","Coulton G.R., Curtin N.A., Morgan J.E., Partridge T.A.",03051846,"Neuropathology and Applied Neurobiology",14, 4,35,3,4,7,3,45
1988,"Effect of intracellular pH on force and heat production in isometric contraction of frog muscle fibres","Curtin N.A., Kometani K., Woledge R.C.",00223751,"Journal of Physiology",396, ,5,0,0,0,0,5
1988,"Intracellular pH and relaxation of frog muscle.","Curtin N.A.",00652598,"Advances in Experimental Medicine and Biology",226, ,0,0,0,0,1,1
1987,"Intracellular pH and buffer power of type 1 and 2 fibres from skeletal muscle of Xenopus laevis","Curtin N.A.",00316768,"Pflugers Archiv European Journal of Physiology",408, 4,2,0,0,0,0,2
1986,"Buffer power and intracellular pH of frog sartorius muscle","Curtin N.A.",00063495,"Biophysical Journal",50, 5,6,0,0,0,0,6
1986,"Absolute values of myothermic measurements on single muscle fibres from frog","Curtin N.A., Howarth J.V., Rall J.A., Wilson M.G.A., Woledge R.C.",01424319,"Journal of Muscle Research and Cell Motility",7, 4,2,0,0,0,0,2
1986,"Effects of carbon dioxide and tetanus duration on relaxation of frog skeletal muscle","Curtin N.A.",01424319,"Journal of Muscle Research and Cell Motility",7, 3,2,0,0,0,1,3
1985,"Energetic aspects of muscle contraction.","Woledge R.C., Curtin N.A., Homsher E.",00792020,"Monographs of the Physiological Society",41, ,66,2,4,6,1,73
1984,"Intramuscular pH and energy changes in muscle.","Curtin N.A.",00652598,"Advances in Experimental Medicine and Biology",170, ,0,0,0,0,0,0
1984,"Simultaneous heat and tension measurements from single muscle cells.","Curtin N.A., Howarth J.V., Rall J.A., Wilson M.G., Woledge R.C.",00652598,"Advances in Experimental Medicine and Biology",170, ,0,0,0,0,0,0
1983,"Heat production by single fibres of frog muscle","Curtin N.A., Howarth J.V., Woledge R.C.",01424319,"Journal of Muscle Research and Cell Motility",4, 2,1,0,0,0,1,2
1982,"Energy balance in frog skeletal muscle","Curtin N.A., Woledge R.C.",00149446,"Federation Proceedings",41, 2,0,0,0,0,0,0
1981,"Effect of muscle length on energy balance in frog skeletal muscle","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",316, ,6,1,1,2,0,8
1979,"Chemical change, production of tension and energy following stretch of active muscle of frog","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",297, ,2,1,0,1,0,3
1979,"Chemical change and energy production druing contraction of frog muscle: how are their time courses related?","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",288, ,14,0,0,0,0,14
1978,"Energy changes and muscular contraction","Curtin N.A., Woledge R.C.",00319333,"Physiological Reviews",58, 3,24,1,2,3,0,27
1977,"A comparison of the energy balance in two successive isometric tetani of frog muscle","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",270, 2,4,0,0,0,0,4
1976,"Proceedings: The prolongation of relaxation after an isometric tetanus.","Curtin N.A.",00223751,"Journal of Physiology",258, 2,0,0,0,0,0,0
1975,"Very high tension with very little ATP breakdown by active skeletal muscle","Curtin N.A., Davies R.E.",,"Journal of Mechanochemistry and Cell Motility",3, 2,14,4,1,5,0,19
1975,"Energy balance in DNFB treated and untreated frog muscle","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",246, 3,1,0,0,0,0,1
1974,"Energetics of relaxation in frog muscle","Curtin N.A., Woledge R.C.",00223751,"Journal of Physiology",238, 2,0,0,0,0,0,0
1974,"The effect of the performance of work on total energy output and metabolism during muscular contraction","Curtin N.A., Gilbert C., Kretzschmar K.M., Wilkie D.R.",00223751,"Journal of Physiology",238, 3,14,0,1,1,0,15
