,This is a citation overview for a set of 546 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 47 (Of the 546 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
2006,"Erratum: Suppression of gonadotropins inhibits gonadal tumorigenesis in mice transgenic for the mouse inhibin ?-subunit promoter/simian virus 40 T-antigen fusion gene (Endocrinology (1997) 138, (3521-3531))",Huhtaniemi I.,137227,Endocrinology,147,7,0,0,0,0,0,0
2006,The adrenal gland may be a target of LH action in postmenopausal women,"Alevizaki M., Saltiki K., Mantzou E., Anastasiou E., Huhtaniemi I.",8044643,European Journal of Endocrinology,154,6,0,1,5,6,0,6
2006,Identification of novel epididymal genes by expression profiling and in silico gene discovery,"Jalkanen J., Shariatmadari R., Pujianto D.A., Sipila P., Huhtaniemi I., Poutanen M.",3037207,Molecular and Cellular Endocrinology,250, 1-2,1,0,0,0,2,3
2006,Transgenic mice expressing p450 aromatase as a model for male infertility associated with chronic inflammation in the testis,"Li X., Strauss L., Kaatrasalo A., Mayerhofer A., Huhtaniemi I., Santti R., Makela S., Poutanen M.",137227,Endocrinology,147,3,2,1,5,6,3,11
2006,Molecular mechanisms of insulin-like growth factor-I mediated regulation of the steroidogenic acute regulatory protein in mouse leydig cells,"Manna P.R., Chandrala S.P., King S.R., Jo Y., Counis R., Huhtaniemi I.T., Stocco D.M.",8888809,Molecular Endocrinology,20,2,3,9,8,17,7,27
2006,Both testosterone and follicle-stimulating hormone independently inhibit spermatogonial differentiation in irradiated rats,"Shetty G., Weng C.C.Y., Meachem S.J., Bolden-Tiller O.U., Zhang Z., Pakarinen P., Huhtaniemi I., Meistrich M.L.",137227,Endocrinology,147,1,1,1,2,3,2,6
2005,Fetal but not adult Leydig cells are susceptible to adenoma formation in response to persistently high hCG level: A study on hCG overexpressing transgenic mice,"Ahtiainen P., Rulli S.B., Shariatmadari R., Pelliniemi L.J., Toppari J., Poutanen M., Huhtaniemi I.T.",9509232,Oncogene,24,49,4,7,0,7,1,12
2005,Knockout of luteinizing hormone receptor abolishes the effects of follicle-stimulating hormone on preovulatory maturation and ovulation of mouse graafian follicles,"Pakarainen T., Zhang F.-P., Nurmi L., Poutanen M., Huhtaniemi I.",8888809,Molecular Endocrinology,19,10,7,7,4,11,2,20
2005,Regulated expression of putative membrane progestin receptor homologues in human endometrium and gestational tissues,"Fernandes M.S., Allen J., Brosens J.J., Pierron V., Michalovich D., Astle S., Thornton S., Peltoketo H., Lam E.W.-F., Gellersen B., Huhtaniemi I.",220795,Journal of Endocrinology,187,1,4,10,10,20,4,28
2005,Does variant luteinizing hormone (V-LH) predispose to improper testicular position in late pregnancy?,"Kaleva M., Virtanen H., Haavisto A.-M., Main K., Skakkebaek N.E., Huhtaniemi I., Irjala K., Toppari J.",313998,Pediatric Research,58,3,0,3,2,5,1,6
