NumberAuthors	Author1	Author2	AuthorLast	AuthorPenUltimate
5	Stoyanov D.	 Mylonas G.P.	 Yang G.Z.	 Darzi A.	
5	Nicolaou M.	 James A.	 Yang G.-Z.	 Darzi A.	
3	Stoyanov D.	 Darzi A.	 Yang G.Z.	NOAUTHOR	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
5	Mylonas G.P.	 Stoyanov D.	 Yang G.-Z.	 Darzi A.	
3	Lee S.L.	 Darzi A.	 Yang G.Z.	NOAUTHOR	
3	Stoyanov D.	 Darzi A.	 Yang G.-Z.	NOAUTHOR	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
8	Jones C.M.	 Athanasiou T.	 Darzi A.	 Kokotsakis J.	
5	Moorthy K.	 Munz Y.	 Darzi A.	 Pandey V.	
5	Alkhamesi N.A.	 Ziprin P.	 Darzi A.W.	 Peck D.H.	
7	Purkayastha S.	 Tekkis P.	 Darzi A.	 Ziprin P.	
7	Purkayastha S.	 Tekkis P.P.	 Darzi A.W.	 Gedroyc W.	
6	Hance J.	 Aggarwal R.	 Darzi A.	 Undre S.	
10	Jones C.M.	 Darzi A.	 Glenville B.	 Casula R.	
3	Faraci A.	 Bello F.	 Darzi A.	NOAUTHOR	
6	Dosis A.	 Bello F.	 Darzi A.	 Aggarwal R.	
6	Aziz O.	 Panesar S.S.	 Darzi A.	 Sheikh A.	
6	Alkhamesi N.A.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
3	Stoyanov D.	 Darzi A.	 Yang G.Z.	NOAUTHOR	
7	Hance J.	 Aggarwal R.	 Pepper J.	 Darzi A.	
2	Bann S.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Sarker S.K.	 Chang A.	 Darzi A.W.	 Vincent C.	
4	Olsen S.B.	 Sheikh A.	 Darzi A.	 Peck D.	
4	Purkayastha S.	 Tekkis P.	 Darzi A.	 Athanasiou T.	
8	Bann S.	 Davis I.M.	 Darzi A.	 Datta V.	
2	Aggarwal R.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Bann S.	 Khan M.	 Darzi A.	 Datta V.	
3	Sarker S.K.	 Vincent C.	 Darzi A.W.	NOAUTHOR	
6	Ridgway P.F.	 Ziprin P.	 Darzi A.W.	 Peck D.H.	
3	Moorthy K.	 Vincent C.	 Darzi A.	NOAUTHOR	
7	Agarwal T.	 Kakkos S.K.	 Hadjiminas D.J.	 Rajan P.	
4	Ridgway P.F.	 Ziprin P.	 Darzi A.W.	 Peck D.H.	
5	Lee S.-L.	 Horkaew P.	 Yang G.-Z.	 Darzi A.	
7	Dosis A.	 Aggarwal R.	 Darzi A.	 Gillies D.	
6	Paraskeva P.A.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
5	Bann S.D.	 Datta V.K.	 Darzi A.W.	 Ridgway P.F.	
4	Hance J.	 Aggarwal R.	 Darzi A.	 Undre S.	
3	Aggarwal R.	 Hance J.	 Darzi A.	NOAUTHOR	
3	Mylonas G.P.	 Darzi A.	 Yang G.-Z.	NOAUTHOR	
5	Aziz O.	 Panesar S.	 Sheikh A.	 Darzi A.	
3	Aggarwal R.	 Moorthy K.	 Darzi A.	NOAUTHOR	
5	ElHelw M.A.	 Lo B.P.	 Yang G.-Z.	 Darzi A.	
3	Stoyanov D.	 Darzi A.	 Yang G.Z.	NOAUTHOR	
6	Dumon K.R.	 Traynor O.	 Williams N.N.	 Darzi A.W.	
3	Agganval R.	 Hance J.	 Darzi A.	NOAUTHOR	
3	Hance J.	 Rockall T.	 Darzi A.	NOAUTHOR	
3	Faraci A.	 Bello F.	 Darzi A.	NOAUTHOR	
5	Purkayastha S.	 Aziz O.	 Darzi A.	 Paraskevas P.	
7	Undre S.	 Moorthy K.	 Darzi A.	 Rockall T.	
4	Aziz O.	 Panesar S.S.	 Darzi A.	 James R.	
7	Moorthy K.	 Mansoori M.	 Darzi A.	 Munz Y.	
4	Elhelw M.A.	 Lo B.P.	 Yang G.-Z.	 Darzi A.	
6	Dosis A.	 Bello F.	 Darzi A.	 Gillies D.	
4	Nicolaou M.	 James A.	 Yang G.-Z.	 Darzi A.	
4	Lee S.-L.	 Horkaew P.	 Yang G.-Z.	 Darzi A.	
6	James D.R.C.	 Purkayastha S.	 Darzi A.	 Paraskevas P.	
7	Ridgway P.F.	 Jacklin R.K.	 Rajan P.B.	 Darzi A.W.	
6	Moorthy K.	 Munz Y.	 Darzi A.	 Chang A.	
6	Moorthy K.	 Munz Y.	 Darzi A.	 Rockall T.	
10	Knowles C.H.	 Martin J.E.	 Lindberg G.	 Browning E.C.	
10	Bicknell C.D.	 Cheshire N.J.W.	 Darzi A.W.	 Wolfe J.H.N.	
3	Aggarwal R.	 Hance J.	 Darzi A.	NOAUTHOR	
5	Datta V.	 Bann S.	 Darzi A.	 Mandalia M.	
4	Kneebone R.L.	 Scott W.	 Horrocks M.	 Darzi A.	
5	Aggarwal R.	 Undre S.	 Darzi A.	 Vincent C.	
5	Lauro A.	 Gould S.W.T.	 Darzi A.	 Giustozzi G.	
5	Shah J.	 Munz Y.	 Darzi A.	 Manson J.	
2	Mahmood T.	 Darzi A.	NOAUTHOR	NOAUTHOR	
8	Al-Homoud S.	 Purkayastha S.	 P. Tekkis P.	 D. Stamatakis J.	
11	Bicknell C.D.	 Darzi A.W.	 Wolfe J.H.	 Jenkins M.P.	
5	Ziprin P.	 Alkhamesi N.A.	 Darzi A.W.	 Peck D.H.	
4	Moorthy K.	 Munz Y.	 Darzi A.	 Undre S.	
3	Casula R.	 Athanasiou T.	 Darzi A.	NOAUTHOR	
2	Bann S.	 Darzi A.	NOAUTHOR	NOAUTHOR	
8	Moorthy K.	 Munz Y.	 Darzi A.	 Rockall T.	
5	Vincent C.	 Moorthy K.	 Darzi A.W.	 Chang A.	
2	Mulligan E.D.	 Darzi A.	NOAUTHOR	NOAUTHOR	
9	Munz Y.	 Moorthy K.	 Rockall T.	 Darzi A.	
2	Darzi A.	 Munz Y.	NOAUTHOR	NOAUTHOR	
3	Paraskeva P.A.	 Purkayastha S.	 Darzi A.	NOAUTHOR	
5	Munz Y.	 Kumar B.D.	 Darzi A.	 Bann S.	
4	Purkayastha S.	 Athanasiou T.	 Darzi A.	 Casula R.	
10	Hernandez J.D.	 Rockall T.	 Darzi A.	 Bello F.	
6	Moorthy K.	 Munz Y.	 Darzi A.	 Chang A.	
7	Undre S.	 Munz Y.	 Darzi A.	 Vale J.	
4	Bann S.	 Khan M.S.	 Darzi A.W.	 Datta V.K.	
