Source Title	Print-ISSN
Acta Psiquiatrica y Psicologica de America Latina	16896
Acta Psychiatrica Belgica	3008967
Acta psychiatrica et neurologica	0365558X 
Acta psychiatrica et neurologica Scandinavica	3655598
Acta psychiatrica et neurologica Scandinavica. Supplementum	3655067
Acta psychiatrica et neurologica. Supplementum	1050028
Acta Psychiatrica Scandinavica	0001690X
"Acta Psychiatrica Scandinavica, Supplement"	651591
Acta psychotherapeutica et psychosomatica	3655822
Acta Radiologica	2841851
"Acta Radiologica - Series Therapy, Physics and Biology"	5678064
Acta radiologica et cancerologica. Bohemoslovencia	
Acta Radiologica Oncology	0349652X
"Acta Radiologica, Supplement"	3655954
Acta Radiologica. Oncology Radiation Therapy Physics and Biology	3485196
Acta Reumatologica Portuguesa	0303464X
Acta rheumatologica Scandinavica	16934
Acta Rhumatologica	2504642
Acta rhumatologica Belgica	3789497
Acta scientia Sinica = Chung-kuo k'o hsüeh	3657183
Acta Scientiae Veterinariae	16780345
Acta Scientiarum - Biological and Health Sciences	14156814
Acta Scientiarum - Health Sciences	16799291
Acta Societatis Medicorum Upsaliensis	16985
Acta Societatis Medicorum Upsaliensis. Supplementum	3654680
Acta Socio-medica Scandinavica	446041
Acta Socio-medica Scandinavica. Supplement	3017664
Acta Stereologica	0351580X 
Acta Stomatologica Belgica	17000
Acta Stomatologica Croatica	17019
Acta Stomatologica Naissi	3525252
Acta Therapeutica	3780619
Acta Tropica	0001706X
Acta tuberculosea Belgica	
Acta Tuberculosea et Pneumologica Belgica	17078
Acta tuberculosea et pneumologica Scandinavica	3657531
Acta tuberculosea et pneumologica Scandinavica. Supplementum	3657612
Acta tuberculosea Scandinavica	3657574
Acta tuberculosea Scandinavica. Supplementum	3657604
Acta Universitatis Agriculturae. Facultas agronomica. Vysoka skola zemedelska v Brne. Fakulta agronomicka	5247403
Acta Universitatis Carolinae. Medica	17116
Acta Universitatis Carolinae. Medica. Monographia	5678250
Acta Urologica Belgica	17183
Acta Urologica Italica	3942511
Acta Urologica Japonica	181994
Acta veterinaria Academiae Scientiarum Hungaricae	17205
"Acta Veterinaria Scandinavica, Supplement"	651699
Acta Virologica	0001723X
Acta vitaminologica	17248
Acta Vitaminologica et Enzymologica	3008924
Actas Dermo-Sifiliograficas	17310
Actas Espanolas de Psiquiatria	11399287
Actas Luso-Espanolas de Neurologia Psiquiatria y Ciencias Afines	3005062
Actas luso-espanolas de neurologia y psiquiatria	17329
Actas Urologicas Espanolas	2104806
Action contre le SIDA	
Actividad Dietetica	11380322
Activitas Nervosa Superior	17604
Activitas Nervosa Superior	18029698
"Activities, Adaptation and Aging"	1924788
Actualites cardiologiques et angeiologiques internationales	3651045
Actualites hepato-gastro-enterologiques	2408007
Actualites Pharmaceutiques	5153700
Actualites Reproduction Humaine	12436933
Actualizaciones en Anestesiologia y Reanimacion	11320095
Actualizaciones en Osteologia	16698975
Acupuncture and Electro-Therapeutics Research	3601293
Acupuncture in Medicine	9645284
Acute Cardiac Care	17482941
Acute Care	2540819
Acute Medicine	17474884
Acute Pain	13660071
AD nurse	8872198
ADA forecast	10847
Adapted Physical Activity Quarterly	7365829
Addiction	9652140
Addiction Biology	13556215
Addiction Research and Theory	16066359
Addiction Science & Clinical Practice	19400632
Addictive Behaviors	3064603
Addictive diseases	940267
Addictive Disorders and their Treatment	15315754
Adicciones	2144840
Adiktologie	12133841
Adipocytes	15502082
Adler Museum bulletin	3796531
Adli Tip Dergisi	10185275
Administration and Policy in Mental Health	0894587X
Administration in Mental Health	901180
Administrative radiology : AR	7386974
Administrative radiology journal : AR	
Adolescence education newsletter	15642984
Adolescencia e Saude	16799941
Adolescent and Pediatric Gynecology	9328610
Adolescent Medicine	10413499
Adolescent Medicine Clinics	15473368
