File	Author	ListedPapers	Papers	Warnings	Errors	General	Life Sciences	Social Sciences	Physical Sciences	Health Sciences	Unknown	Uniformity
79	Car, J.	54	53	0	0	 0.000	0.009434	0.006289	 0.000	0.9088	0.07547	0.8318
80	Chai, J.G.	25	24	0	0	 0.000	0.4688	 0.000	 0.000	0.4896	0.04167	0.4612
81	Chambers, J.C.	91	90	0	0	 0.000	0.1911	 0.000	0.1504	0.4919	0.1667	0.3288
82	Professor Chaturvedi, N.	168	167	0	0	 0.000	0.06447	0.01198	0.02395	0.8876	0.01198	0.7929
83	Chaudhri, O.B.	18	17	0	0	 0.000	0.5569	 0.000	 0.000	0.3255	0.1176	0.4299
84	Chayen, N.	70	69	0	0	0.05797	0.7174	 0.000	0.2174	0.007246	 0.000	0.5653
85	Cherepanov, P.P.	44	43	0	0	0.04651	0.7171	 0.000	 0.000	0.2132	0.02326	0.5623
86	Chester, A.H.	130	129	0	0	 0.000	0.2393	 0.000	0.006202	0.7390	0.01550	0.6037
87	Dr Christian, M.	24	23	0	0	0.04348	0.7804	 0.000	 0.000	0.1761	 0.000	0.6420
88	Chung, A.J.	31	30	0	0	 0.000	 0.000	 0.000	0.5833	0.3500	0.06667	0.4672
89	Chung, K.F.	498	497	0	0	0.002012	0.2546	0.002012	0.002750	0.3483	0.3903	0.3385
90	Clark, A.R.	64	63	0	0	 0.000	0.6415	 0.000	0.03439	0.2923	0.03175	0.4992
91	Clark, P.C.	13	12	0	0	 0.000	0.5972	 0.000	0.1250	0.2778	 0.000	0.4495
92	Clerk, A.	84	83	0	0	 0.000	0.7269	 0.000	 0.000	0.2731	 0.000	0.6030
93	Professor Cobb, J.P.	30	29	0	0	 0.000	0.006897	 0.000	0.07931	0.8103	0.1034	0.6737
94	Coen, M.	19	18	0	0	 0.000	0.2685	 0.000	0.5833	0.1481	 0.000	0.4343
95	Collins, P.D.	125	124	0	0	 0.000	0.1124	 0.000	 0.000	0.8554	0.03226	0.7453
96	Cook, S.A.	26	25	0	0	 0.000	0.5253	 0.000	 0.000	0.3947	0.08000	0.4381
97	Cook, H.T.	142	141	0	0	0.007092	0.1566	 0.000	 0.000	0.4959	0.3404	0.3863
98	Cooke, G.S.	25	24	0	0	 0.000	0.1458	 0.000	 0.000	0.8125	0.04167	0.6832
99	Professor Cookson, W.O.C.	185	184	0	0	0.02717	0.3214	 0.000	0.007246	0.6333	0.01087	0.5053
100	Coombes, R.C.	385	384	0	0	0.002604	0.4041	 0.000	0.03367	0.5232	0.03646	0.4395
101	Professor Cosgrove, D.O.	156	155	2	0	0.006452	0.06935	0.006452	0.03065	0.8613	0.02581	0.7483
102	Costa Pereira, A.P.	15	14	0	0	0.1429	0.5952	 0.000	 0.000	0.2619	 0.000	0.4433
103	Professor Coutelle, C.C.	110	109	0	0	 0.000	0.7389	 0.000	0.01713	0.2256	0.01835	0.5975
104	Dr Cowan, F.M.	205	204	0	0	 0.000	0.05719	0.01552	0.001634	0.9011	0.02451	0.8162
105	Cowie, M.R.	230	229	0	0	 0.000	0.02307	 0.000	0.5122	0.4603	0.004367	0.4748
106	Crawford, M.J.	67	66	0	0	 0.000	0.02525	0.08333	 0.000	0.8914	 0.000	0.8022
107	Crawley, J.B.	30	29	0	0	 0.000	0.4310	 0.000	 0.000	0.5690	 0.000	0.5095
108	Croucher, M.J.	52	51	0	0	0.01961	0.8922	 0.000	 0.000	0.06863	0.01961	0.8014
109	Culley, F.J.	34	33	0	0	 0.000	0.4515	 0.000	 0.000	0.5485	 0.000	0.5047
110	Cullinan, P.	132	131	1	0	0.007634	0.1018	 0.000	0.03308	0.7888	0.06870	0.6384
111	Cunninghame Graham, D.S.	9	8	0	0	 0.000	0.4375	 0.000	 0.000	0.1875	0.3750	0.3672
112	Curtin, N.A.	74	73	0	0	0.01370	0.7826	 0.000	0.002740	0.1598	0.04110	0.6400
113	Dr Da Silva Xavier, G.	21	20	0	0	0.1000	0.2500	 0.000	 0.000	0.2000	0.4500	0.3150
114	Dalakas, M.C.	373	372	0	0	0.008065	0.2731	 0.000	0.002688	0.5575	0.1586	0.4107
115	Darzi, A.W.	559	558	0	0	 0.000	0.01894	0.006422	0.01305	0.5691	0.3925	0.4785
116	Dr Davies, J.C.	97	96	0	0	 0.000	0.1226	0.008681	0.08056	0.6944	0.09375	0.5126
117	Professor Davies, A.H.	195	194	2	0	 0.000	0.05962	0.007732	0.01289	0.8991	0.02062	0.8127
118	Davies, D.C.	82	81	0	0	 0.000	0.3179	0.006173	0.02469	0.2315	0.4198	0.3315
119	Dazzi, F.	154	153	0	0	0.03268	0.2401	 0.000	0.2288	0.4462	0.05229	0.3129
120	de Belleroche, J.	186	185	0	0	0.02703	0.7119	 0.000	 0.000	0.2557	0.005405	0.5729
121	De Iorio, M.	22	21	0	0	0.04762	0.3381	0.1032	0.3095	0.1540	0.04762	0.2490
122	De Paola, V.	29	28	0	0	0.03571	0.4179	0.007143	0.007143	0.4964	0.03571	0.4237
123	Dr De Silva, P.E.R.	37	36	0	0	 0.000	0.09722	 0.000	0.01852	0.4676	0.4167	0.4020
124	De Wolf, F.	162	161	0	0	0.01242	0.1310	 0.000	0.01508	0.7856	0.05590	0.6378
125	Dean, J.L.E.	28	27	0	0	0.03704	0.9074	 0.000	 0.000	0.01852	0.03704	0.8265
126	Dexter, D.T.	61	60	0	0	 0.000	0.6983	 0.000	0.01667	0.2683	0.01667	0.5602
127	Dr Dhillo, W.S.	60	59	0	0	 0.000	0.5636	 0.000	 0.000	0.4364	 0.000	0.5081
128	Dickinson, R.J.	34	33	0	0	0.03030	0.3131	 0.000	0.06061	0.5657	0.03030	0.4235
129	Dilworth, S.M.	59	58	0	0	0.06897	0.7805	 0.000	 0.000	0.1333	0.01724	0.6319
130	Dr Domin, J.	59	58	0	0	0.01724	0.6566	 0.000	 0.000	0.2917	0.03448	0.5177
131	Dr Donnelly, L.E.	65	64	0	0	 0.000	0.5508	 0.000	 0.000	0.4336	0.01563	0.4916
132	Donnelly, C.A.	150	149	0	0	0.1477	0.2973	0.01007	0.1012	0.4103	0.03356	0.2899
133	Dr Dorling, A.	69	68	0	0	 0.000	0.2157	 0.000	 0.000	0.7843	 0.000	0.6617
134	Dumas, M.E.	41	40	0	0	0.05000	0.4333	 0.000	0.2179	0.2988	 0.000	0.3270
135	Professor Durham, S.R.	375	374	0	0	 0.000	0.2723	 0.000	0.002674	0.3641	0.3610	0.3370
136	Professor Dyson, P.J.	69	68	0	0	0.02941	0.2610	 0.000	 0.000	0.3566	0.3529	0.3207
137	Ebbels, T.M.D.	38	37	0	0	0.02703	0.3505	 0.000	0.5775	0.01802	0.02703	0.4581
138	Dr Eckersley, R.J.	58	57	0	0	 0.000	0.08480	 0.000	0.1930	0.7047	0.01754	0.5413
139	Edison, P.N.	14	13	0	0	 0.000	0.3590	 0.000	 0.000	0.5641	0.07692	0.4530
140	Edwards, M.R.	20	19	0	0	 0.000	0.7719	 0.000	 0.000	0.2281	 0.000	0.6479
141	Dr Edwards, P.J.	82	81	1	0	 0.000	0.01235	 0.000	0.3335	0.6047	0.04938	0.4795
142	Professor Edwards, A.D.	205	204	0	0	0.004902	0.1217	 0.000	0.009804	0.5548	0.3088	0.4181
143	Professor Edwards, C.R.W.	220	219	0	0	0.01826	0.3309	 0.000	0.04452	0.6063	 0.000	0.4794
144	Elkington, P.T.G.	15	14	0	0	 0.000	0.3750	 0.000	 0.000	0.5536	0.07143	0.4522
145	Elliott, G.D.	25	24	0	0	 0.000	 1.000	 0.000	 0.000	 0.000	 0.000	 1.000
146	Elliott, P.M.	232	231	0	0	0.008658	0.1052	0.06385	0.1040	0.6664	0.05195	0.4728
147	Emerson, M.	9	8	0	0	 0.000	0.7708	 0.000	 0.000	0.2292	 0.000	0.6467
148	Enright, M.C.	69	68	0	0	0.07353	0.3370	 0.000	 0.000	0.5895	 0.000	0.4664
