Author	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Mr Aggarwal, R.	Aggarwal, Mr Rajesh	1.0	1.0	2.0	3.0	12.0	0.018325355695154	0.0850398390677217	0.00908234719840061	0.0128672335214212	0.101950354609929	77.0	0.0480535771627995	45.3442978293245	0.906885956586491	0.0	1.0	6.0	         5.60	            3	            3	            5	            8	            9	      5.60	         3	         3	         5	         8	         9	        0	        0	        1	        2	        2	        5	         0.00	          0.00	         0.20	          0.40	           0.40	           1.00	         0	                 0.00	         0	         0	         1	         2	         2	         5	          0.00	           0.00	          0.20	           0.40	            0.40	            1.00	               0	               0	               1	               2	               2	               5	                0.00	                 0.00	                0.20	                 0.40	                  0.40	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Mr Aggarwal, R.	Aggarwal, Mr Rajesh	1.0	2.0	12.0	30.0	599.0	0.0138150602995984	0.149970996540158	0.00607430507979756	5.96827633095618E-4	0.0885579937304075	195.0	0.0855593044003708	82.7424233167536	0.940254810417655	0.0	1.0	6.0	         4.57	            2	            3	            5	            7	            7	      4.57	         2	         3	         5	         7	         7	        7	        0	        4	        0	        3	       14	         0.50	          0.00	         0.29	          0.00	           0.21	           1.00	         0	                 0.00	         7	         0	         4	         0	         3	        14	          0.50	           0.00	          0.29	           0.00	            0.21	            1.00	               4	               0	               4	               0	               3	              11	                0.29	                 0.00	                0.29	                 0.00	                  0.21	                  0.79	              3	              0	              0	              0	              0	              3	               0.21	                0.00	               0.00	                0.00	                 0.00	                 0.21
Mr Aggarwal, R.	Aggarwal, Mr Rajesh	1.0	3.0	16.0	71.0	881.0	0.0226731091886553	0.259469012242298	0.00512914945867283	2.07036614163249E-5	0.0682184978274363	302.0	0.036969040363704	172.22072767086	0.956781820393667	0.0	1.0	6.0	         5.72	            2	            3	            6	            7	           12	      5.72	         2	         3	         6	         7	        12	       24	        0	       12	        1	       17	       54	         0.44	          0.00	         0.22	          0.02	           0.31	           1.00	         0	                 0.00	        24	         0	        12	         1	        17	        54	          0.44	           0.00	          0.22	           0.02	            0.31	            1.00	              14	               0	              12	               1	              17	              44	                0.26	                 0.00	                0.22	                 0.02	                  0.31	                  0.81	             10	              0	              0	              0	              0	             10	               0.19	                0.00	               0.00	                0.00	                 0.00	                 0.19
Dr Agranoff, D.D.		         3.89	            1	            2	            2	            5	           11	      4.71	         2	         2	         4	         7	        11	        7	        0	        0	        0	        2	        9	         0.78	          0.00	         0.00	          0.00	           0.22	           1.00	         2	                 0.22	         5	         0	         0	         0	         2	         7	          0.56	           0.00	          0.00	           0.00	            0.22	            0.78	               2	               0	               0	               0	               2	               4	                0.22	                 0.00	                0.00	                 0.00	                  0.22	                  0.44	              3	              0	              0	              0	              0	              3	               0.33	                0.00	               0.00	                0.00	                 0.00	                 0.33
Dr Agranoff, D.D.	Agranoff, Dr Daniel David	114.0	1.0	3.0	4.0	90.0	0.00916267784757702	0.021242022950132	0.0085948811543789	0.00415549936505419	0.283333333333333	25.0	0.0988066374413616	19.6474025974026	0.785896103896104	1.0	1.0	3.0	         7.00	            3	            3	            7	           11	           11	      7.00	         3	         3	         7	        11	        11	        0	        0	        1	        0	        2	        3	         0.00	          0.00	         0.33	          0.00	           0.67	           1.00	         0	                 0.00	         0	         0	         1	         0	         2	         3	          0.00	           0.00	          0.33	           0.00	            0.67	            1.00	               0	               0	               1	               0	               2	               3	                0.00	                 0.00	                0.33	                 0.00	                  0.67	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Agranoff, D.D.	Agranoff, Dr Daniel David	114.0	2.0	8.0	9.0	251.0	0.0034537650748996	0.00622661358264774	0.00508339363624849	2.90539619029425E-6	0.458874458874458	30.0	0.178677163175898	14.6111111111111	0.664141414141414	1.0	1.0	3.0	         6.20	            2	            4	            6	            8	           11	      6.20	         2	         4	         6	         8	        11	        3	        0	        0	        0	        2	        5	         0.60	          0.00	         0.00	          0.00	           0.40	           1.00	         0	                 0.00	         3	         0	         0	         0	         2	         5	          0.60	           0.00	          0.00	           0.00	            0.40	            1.00	               2	               0	               0	               0	               2	               4	                0.40	                 0.00	                0.00	                 0.00	                  0.40	                  0.80	              1	              0	              0	              0	              0	              1	               0.20	                0.00	               0.00	                0.00	                 0.00	                 0.20
Dr Agranoff, D.D.	Agranoff, Dr Daniel David	114.0	3.0	8.0	13.0	256.0	0.0031490429428688	0.0263901103026228	0.00409372891730189	1.07145815799136E-5	0.35	25.0	0.122289060117678	16.88	0.6752	1.0	1.0	3.0	         6.75	            2	            5	            8	           12	           12	      6.75	         2	         5	         8	        12	        12	        1	        0	        1	        0	        2	        4	         0.25	          0.00	         0.25	          0.00	           0.50	           1.00	         0	                 0.00	         1	         0	         1	         0	         2	         4	          0.25	           0.00	          0.25	           0.00	            0.50	            1.00	               1	               0	               1	               0	               2	               4	                0.25	                 0.00	                0.25	                 0.00	                  0.50	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Mr Ahmed, A.R.		
Mr Ahmed, A.R.	Ahmed, Mr Ahmed Rashid	115.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 	1.0	1.0	6.0	
Mr Ahmed, A.R.	Ahmed, Mr Ahmed Rashid	115.0	2.0	 	 	 	9.41935929518074E-4	0.0	0.00501637409732764	2.91953271394422E-8	1.0	12.0	0.404598580979758	2.72411616161616	0.45401936026936	1.0	1.0	6.0	
