Author	Period	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Dr Agranoff, D.D.	1	Agranoff, Dr Daniel David	114.0	1.0	3.0	4.0	90.0	0.00916267784757702	0.021242022950132	0.0085948811543789	0.00415549936505419	0.283333333333333	25.0	0.0988066374413616	19.6474025974026	0.785896103896104	1.0	1.0	3.0	         7.25	            3	            7	            8	           11	           11	      7.25	         3	         7	         8	        11	        11	        0	        0	        1	        0	        3	        4	         0.00	          0.00	         0.25	          0.00	           0.75	           1.00	         0	                 0.00	         0	         0	         1	         0	         3	         4	          0.00	           0.00	          0.25	           0.00	            0.75	            1.00	               0	               0	               1	               0	               3	               4	                0.00	                 0.00	                0.25	                 0.00	                  0.75	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Agranoff, D.D.	2	Agranoff, Dr Daniel David	114.0	2.0	8.0	9.0	251.0	0.0034537650748996	0.00622661358264774	0.00508339363624849	2.90539619029425E-6	0.458874458874458	30.0	0.178677163175898	14.6111111111111	0.664141414141414	1.0	1.0	3.0	         7.00	            2	            4	            6	           11	           12	      7.00	         2	         4	         6	        11	        12	        4	        0	        0	        0	        1	        5	         0.80	          0.00	         0.00	          0.00	           0.20	           1.00	         0	                 0.00	         4	         0	         0	         0	         1	         5	          0.80	           0.00	          0.00	           0.00	            0.20	            1.00	               3	               0	               0	               0	               1	               4	                0.60	                 0.00	                0.00	                 0.00	                  0.20	                  0.80	              1	              0	              0	              0	              0	              1	               0.20	                0.00	               0.00	                0.00	                 0.00	                 0.20
Dr Agranoff, D.D.	3	Agranoff, Dr Daniel David	114.0	3.0	8.0	13.0	256.0	0.0031490429428688	0.0263901103026228	0.00409372891730189	1.07145815799136E-5	0.35	25.0	0.122289060117678	16.88	0.6752	1.0	1.0	3.0	         5.00	            2	            2	            5	            8	            8	      5.00	         2	         2	         5	         8	         8	        0	        1	        0	        0	        2	        3	         0.00	          0.33	         0.00	          0.00	           0.67	           1.00	         0	                 0.00	         0	         1	         0	         0	         2	         3	          0.00	           0.33	          0.00	           0.00	            0.67	            1.00	               0	               1	               0	               0	               2	               3	                0.00	                 0.33	                0.00	                 0.00	                  0.67	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Agranoff, D.D.	4	
Mr Ahmed, A.R.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
Mr Ahmed, A.R.	1	Ahmed, Mr Ahmed Rashid	115.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 	1.0	1.0	6.0	
Mr Ahmed, A.R.	2	Ahmed, Mr Ahmed Rashid	115.0	2.0	 	 	 	9.41935929518074E-4	0.0	0.00501637409732764	2.91953271394422E-8	1.0	12.0	0.404598580979758	2.72411616161616	0.45401936026936	1.0	1.0	6.0	
Mr Ahmed, A.R.	3	Ahmed, Mr Ahmed Rashid	115.0	3.0	 	 	 	0.0117144397474719	0.006413331601212	0.00506233249146188	3.66595336162712E-5	0.937353903693314	93.0	0.0380986087146878	21.5724904140625	0.231962262516801	1.0	1.0	6.0	
Mr Ahmed, A.R.	4	
Professor Alberti, K.G.M.M.A.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         4.65	            1	            3	            4	            6	           39	      4.88	         2	         3	         4	         6	        39	       97	      322	       67	      101	       48	      635	         0.15	          0.51	         0.11	          0.16	           0.08	           1.00	        38	                 0.06	        59	       322	        67	       101	        48	       597	          0.09	           0.51	          0.11	           0.16	            0.08	            0.94	              15	             321	              67	             101	              48	             552	                0.02	                 0.51	                0.11	                 0.16	                  0.08	                  0.87	             44	              1	              0	              0	              0	             45	               0.07	                0.00	               0.00	                0.00	                 0.00	                 0.07
